           ,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,produksi_jengkol,satuan,tahun
1,32,JAWA BARAT,3201,KABUPATEN BOGOR,4763,KUINTAL,2013
2,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,920,KUINTAL,2013
3,32,JAWA BARAT,3203,KABUPATEN CIANJUR,4054,KUINTAL,2013
4,32,JAWA BARAT,3204,KABUPATEN BANDUNG,1775,KUINTAL,2013
5,32,JAWA BARAT,3205,KABUPATEN GARUT,3975,KUINTAL,2013
6,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,14338,KUINTAL,2013
7,32,JAWA BARAT,3207,KABUPATEN CIAMIS,21937,KUINTAL,2013
8,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,5022,KUINTAL,2013
9,32,JAWA BARAT,3209,KABUPATEN CIREBON,403,KUINTAL,2013
10,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,425,KUINTAL,2013
11,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,3927,KUINTAL,2013
12,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,296,KUINTAL,2013
13,32,JAWA BARAT,3213,KABUPATEN SUBANG,2844,KUINTAL,2013
14,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,5615,KUINTAL,2013
15,32,JAWA BARAT,3215,KABUPATEN KARAWANG,182,KUINTAL,2013
16,32,JAWA BARAT,3216,KABUPATEN BEKASI,228,KUINTAL,2013
17,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,2098,KUINTAL,2013
18,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,0,KUINTAL,2013
19,32,JAWA BARAT,3271,KOTA BOGOR,429,KUINTAL,2013
20,32,JAWA BARAT,3272,KOTA SUKABUMI,0,KUINTAL,2013
21,32,JAWA BARAT,3273,KOTA BANDUNG,4,KUINTAL,2013
22,32,JAWA BARAT,3274,KOTA CIREBON,72,KUINTAL,2013
23,32,JAWA BARAT,3275,KOTA BEKASI,1,KUINTAL,2013
24,32,JAWA BARAT,3276,KOTA DEPOK,0,KUINTAL,2013
25,32,JAWA BARAT,3277,KOTA CIMAHI,0,KUINTAL,2013
26,32,JAWA BARAT,3278,KOTA TASIKMALAYA,94,KUINTAL,2013
27,32,JAWA BARAT,3279,KOTA BANJAR,1144,KUINTAL,2013
28,32,JAWA BARAT,3201,KABUPATEN BOGOR,4369,KUINTAL,2014
29,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,2370,KUINTAL,2014
30,32,JAWA BARAT,3203,KABUPATEN CIANJUR,2381,KUINTAL,2014
31,32,JAWA BARAT,3204,KABUPATEN BANDUNG,2943,KUINTAL,2014
32,32,JAWA BARAT,3205,KABUPATEN GARUT,3950,KUINTAL,2014
33,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,11270,KUINTAL,2014
34,32,JAWA BARAT,3207,KABUPATEN CIAMIS,8936,KUINTAL,2014
35,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,5542,KUINTAL,2014
36,32,JAWA BARAT,3209,KABUPATEN CIREBON,458,KUINTAL,2014
37,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,596,KUINTAL,2014
38,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,1457,KUINTAL,2014
39,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,113,KUINTAL,2014
40,32,JAWA BARAT,3213,KABUPATEN SUBANG,3343,KUINTAL,2014
41,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,8369,KUINTAL,2014
42,32,JAWA BARAT,3215,KABUPATEN KARAWANG,4561,KUINTAL,2014
43,32,JAWA BARAT,3216,KABUPATEN BEKASI,33,KUINTAL,2014
44,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,5150,KUINTAL,2014
45,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,1072,KUINTAL,2014
46,32,JAWA BARAT,3271,KOTA BOGOR,1290,KUINTAL,2014
47,32,JAWA BARAT,3272,KOTA SUKABUMI,0,KUINTAL,2014
48,32,JAWA BARAT,3273,KOTA BANDUNG,2,KUINTAL,2014
49,32,JAWA BARAT,3274,KOTA CIREBON,92,KUINTAL,2014
50,32,JAWA BARAT,3275,KOTA BEKASI,3,KUINTAL,2014
51,32,JAWA BARAT,3276,KOTA DEPOK,0,KUINTAL,2014
52,32,JAWA BARAT,3277,KOTA CIMAHI,0,KUINTAL,2014
53,32,JAWA BARAT,3278,KOTA TASIKMALAYA,177,KUINTAL,2014
54,32,JAWA BARAT,3279,KOTA BANJAR,185,KUINTAL,2014
55,32,JAWA BARAT,3201,KABUPATEN BOGOR,4609,KUINTAL,2015
56,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,4736,KUINTAL,2015
57,32,JAWA BARAT,3203,KABUPATEN CIANJUR,2984,KUINTAL,2015
58,32,JAWA BARAT,3204,KABUPATEN BANDUNG,4138,KUINTAL,2015
59,32,JAWA BARAT,3205,KABUPATEN GARUT,3212,KUINTAL,2015
60,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,25591,KUINTAL,2015
61,32,JAWA BARAT,3207,KABUPATEN CIAMIS,12209,KUINTAL,2015
62,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,4851,KUINTAL,2015
63,32,JAWA BARAT,3209,KABUPATEN CIREBON,1030,KUINTAL,2015
64,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,2889,KUINTAL,2015
65,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,2784,KUINTAL,2015
66,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,80,KUINTAL,2015
67,32,JAWA BARAT,3213,KABUPATEN SUBANG,4285,KUINTAL,2015
68,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,11600,KUINTAL,2015
69,32,JAWA BARAT,3215,KABUPATEN KARAWANG,2381,KUINTAL,2015
70,32,JAWA BARAT,3216,KABUPATEN BEKASI,35,KUINTAL,2015
71,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,16042,KUINTAL,2015
72,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,4697,KUINTAL,2015
73,32,JAWA BARAT,3271,KOTA BOGOR,929,KUINTAL,2015
74,32,JAWA BARAT,3272,KOTA SUKABUMI,0,KUINTAL,2015
75,32,JAWA BARAT,3273,KOTA BANDUNG,2,KUINTAL,2015
76,32,JAWA BARAT,3274,KOTA CIREBON,4,KUINTAL,2015
77,32,JAWA BARAT,3275,KOTA BEKASI,54,KUINTAL,2015
78,32,JAWA BARAT,3276,KOTA DEPOK,0,KUINTAL,2015
79,32,JAWA BARAT,3277,KOTA CIMAHI,0,KUINTAL,2015
80,32,JAWA BARAT,3278,KOTA TASIKMALAYA,13,KUINTAL,2015
81,32,JAWA BARAT,3279,KOTA BANJAR,134,KUINTAL,2015
82,32,JAWA BARAT,3201,KABUPATEN BOGOR,4791,KUINTAL,2016
