           ,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,produksi_jengkol,satuan,tahun
1,32,JAWA BARAT,3201,KABUPATEN BOGOR,4763,KUINTAL,2013
2,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,920,KUINTAL,2013
3,32,JAWA BARAT,3203,KABUPATEN CIANJUR,4054,KUINTAL,2013
4,32,JAWA BARAT,3204,KABUPATEN BANDUNG,1775,KUINTAL,2013
5,32,JAWA BARAT,3205,KABUPATEN GARUT,3975,KUINTAL,2013
6,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,14338,KUINTAL,2013
7,32,JAWA BARAT,3207,KABUPATEN CIAMIS,21937,KUINTAL,2013
8,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,5022,KUINTAL,2013
9,32,JAWA BARAT,3209,KABUPATEN CIREBON,403,KUINTAL,2013
10,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,425,KUINTAL,2013
11,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,3927,KUINTAL,2013
12,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,296,KUINTAL,2013
13,32,JAWA BARAT,3213,KABUPATEN SUBANG,2844,KUINTAL,2013
14,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,5615,KUINTAL,2013
15,32,JAWA BARAT,3215,KABUPATEN KARAWANG,182,KUINTAL,2013
16,32,JAWA BARAT,3216,KABUPATEN BEKASI,228,KUINTAL,2013
17,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,2098,KUINTAL,2013
18,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,0,KUINTAL,2013
19,32,JAWA BARAT,3271,KOTA BOGOR,429,KUINTAL,2013
20,32,JAWA BARAT,3272,KOTA SUKABUMI,0,KUINTAL,2013
21,32,JAWA BARAT,3273,KOTA BANDUNG,4,KUINTAL,2013
22,32,JAWA BARAT,3274,KOTA CIREBON,72,KUINTAL,2013
23,32,JAWA BARAT,3275,KOTA BEKASI,1,KUINTAL,2013
24,32,JAWA BARAT,3276,KOTA DEPOK,0,KUINTAL,2013
25,32,JAWA BARAT,3277,KOTA CIMAHI,0,KUINTAL,2013
26,32,JAWA BARAT,3278,KOTA TASIKMALAYA,94,KUINTAL,2013
27,32,JAWA BARAT,3279,KOTA BANJAR,1144,KUINTAL,2013
28,32,JAWA BARAT,3201,KABUPATEN BOGOR,4369,KUINTAL,2014
29,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,2370,KUINTAL,2014
